Date,1 USD to PHP
2023-01-03,55.815
2023-01-04,55.746
2023-01-05,56.014
2023-01-06,55.898
2023-01-09,55.681
2023-01-10,55.164
2023-01-11,54.858
2023-01-12,54.928
2023-01-13,55.176
2023-01-16,55.010
2023-01-17,54.651
2023-01-18,54.790
2023-01-19,54.830
2023-01-20,54.688
2023-01-23,54.639
2023-01-24,54.388
2023-01-25,54.521
2023-01-26,54.620
2023-01-27,54.482
2023-01-30,54.368
2023-01-31,54.545
2023-02-01,54.571
2023-02-02,54.591
2023-02-03,53.955
2023-02-06,53.772
2023-02-07,54.279
2023-02-08,54.848
2023-02-09,54.880
2023-02-10,54.744
2023-02-13,54.543
2023-02-14,54.702
2023-02-15,54.784
2023-02-16,55.105
2023-02-17,55.217
2023-02-20,55.252
2023-02-21,55.168
2023-02-22,55.008
2023-02-23,55.133
2023-02-27,55.014
2023-02-28,55.312
2023-03-01,55.210
2023-03-02,55.077
2023-03-03,54.984
2023-03-06,54.833
2023-03-07,54.844
2023-03-08,55.081
2023-03-09,55.397
2023-03-10,55.238
2023-03-13,55.203
2023-03-14,54.919
2023-03-15,55.025
2023-03-16,54.861
2023-03-17,54.972
2023-03-20,54.678
2023-03-21,54.653
2023-03-22,54.353
2023-03-23,54.353
2023-03-24,54.451
2023-03-27,54.322
2023-03-28,54.322
2023-03-29,54.376
2023-03-30,54.434
2023-03-31,54.420
2023-04-03,54.318
2023-04-04,54.591
2023-04-05,54.591
2023-04-11,54.428
2023-04-12,54.734
2023-04-13,55.101
2023-04-14,55.270
2023-04-17,55.153
2023-04-18,55.589
2023-04-19,56.094
2023-04-20,56.080
2023-04-24,56.278
2023-04-25,55.919
2023-04-26,55.567
2023-04-27,55.608
2023-04-28,55.742
2023-05-02,55.497
2023-05-03,55.367
2023-05-04,55.367
2023-05-05,55.201
2023-05-08,55.292
2023-05-09,55.294
2023-05-10,55.550
2023-05-11,55.770
2023-05-12,55.672
2023-05-15,55.876
2023-05-16,55.971
2023-05-17,56.117
2023-05-18,56.166
2023-05-19,56.166
2023-05-22,55.708
2023-05-23,55.797
2023-05-24,55.797
2023-05-25,55.770
2023-05-26,55.916
2023-05-29,55.833
2023-05-30,55.986
2023-05-31,56.260
