Date,USDtoPHP
1/3/2023,55.815
1/4/2023,55.746
1/5/2023,56.014
1/6/2023,55.898
1/9/2023,55.681
1/10/2023,55.164
1/11/2023,54.858
1/12/2023,54.928
1/13/2023,55.176
1/16/2023,55.010
1/17/2023,54.651
1/18/2023,54.790
1/19/2023,54.830
1/20/2023,54.688
1/23/2023,54.639
1/24/2023,54.388
1/25/2023,54.521
1/26/2023,54.620
1/27/2023,54.482
1/30/2023,54.368
1/31/2023,54.545
2/1/2023,54.571
2/2/2023,54.591
2/3/2023,53.955
2/6/2023,53.772
2/7/2023,54.279
2/8/2023,54.848
2/9/2023,54.880
2/10/2023,54.744
2/13/2023,54.543
2/14/2023,54.702
2/15/2023,54.784
2/16/2023,55.105
2/17/2023,55.217
2/20/2023,55.252
2/21/2023,55.168
2/22/2023,55.008
2/23/2023,55.133
2/27/2023,55.014
2/28/2023,55.312
3/1/2023,55.210
3/2/2023,55.077
3/3/2023,54.984
3/6/2023,54.833
3/7/2023,54.844
3/8/2023,55.081
3/9/2023,55.397
3/10/2023,55.238
3/13/2023,55.203
3/14/2023,54.919
3/15/2023,55.025
3/16/2023,54.861
3/17/2023,54.972
3/20/2023,54.678
3/21/2023,54.653
3/22/2023,54.353
3/23/2023,54.353
3/24/2023,54.451
3/27/2023,54.322
3/28/2023,54.322
3/29/2023,54.376
3/30/2023,54.434
3/31/2023,54.420
4/3/2023,54.318
4/4/2023,54.591
4/5/2023,54.591
4/11/2023,54.428
4/12/2023,54.734
4/13/2023,55.101
4/14/2023,55.270
4/17/2023,55.153
4/18/2023,55.589
4/19/2023,56.094
4/20/2023,56.080
4/24/2023,56.278
4/25/2023,55.919
4/26/2023,55.567
4/27/2023,55.608
4/28/2023,55.742
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
